demand_iko,pv_profile
872.533873,0
737.873477,0
700.6412715,0
679.7287807,0
777.157005,0
1056.979509,0
1680.403837,0
2392.285076,0
1744.029025,5.186533212
1563.471795,27.1610555
1688.02813,42.58416741
1738.762739,49.13557779
1754.408977,58.14376707
1584.384286,39.99090081
1361.266979,23.20291174
1241.824343,9.008189262
1258.358263,0
1609.644487,0
2029.241087,0
2410.441908,0
2531.538248,0
2063.901046,0
1551.744856,0
1229.576447,0
950.1515607,0
809.5205423,0
761.2657347,0
734.841926,0
826.2995615,0
1097.395818,0
1709.338239,0
2403.307712,0
1724.739412,19.65423112
1526.270449,271.610555
1643.937621,204.1856233
1713.043266,103.1847134
1825.596771,59.37215652
1724.004249,58.5532302
1515.124508,33.57597816
1321.279114,9.008189262
1210.593553,0
1520.544893,0
1961.268222,0
2310.778982,0
2459.431878,0
2012.002831,0
1510.410006,0
1193.293643,0
927.6470183,0
798.4979401,0
770.9105242,0
757.3464685,0
853.8561173,0
1153.886809,0
1809.460469,0
2526.393722,0
1890.99739,64.28571429
1680.58725,394.5859872
1744.978393,630.1637853
1752.541033,760.2365787
1749.35693,777.5705187
1592.651262,661.4194722
1380.556558,489.0354867
1271.218016,185.6232939
1326.790432,0
1721.707861,0
2163.349733,0
2514.69761,0
2664.728352,0
2196.172575,0
1668.860277,0
1355.418116,0
1070.481912,0
950.0590813,0
919.2567355,0
919.0117036,0
1015.521352,0
1291.210385,0
1901.774994,0
2545.683334,0
1868.952152,71.51956323
1655.786319,397.5887169
1752.786099,627.434031
1759.430164,759.6906279
1735.578635,782.8935396
1543.049435,693.3575979
1312.583693,505.4140128
1180.740609,197.4977252
1195.437445,0
1533.863916,0
1929.578161,0
2303.430547,0
2422.689804,0
1955.511839,0
1453.459743,0
1130.832063,0
832.1175642,0
679.5454018,0
601.4376167,0
561.6948178,0
668.308527,0
980.7396675,0
1609.675313,0
2308.6968,0
1668.248454,70.83712467
1482.179906,393.4940856
1586.528088,621.8380347
1620.269471,753.9581439
1640.049181,778.1164695
1493.906878,693.3575979
1312.124422,505.6869882
1209.675011,202.6842584
1237.231567,0
1595.406921,0
2019.137027,0
2358.543692,0
2465.861772,0
1985.364816,0
1456.215402,0
1134.965535,0
862.8890835,0
729.1472292,0
683.648047,0
664.1134025,0
759.7045095,0
1036.312084,0
1656.980753,0
2364.72852,0
1689.37515,6.414922656
1492.743271,62.51137398
1645.774738,105.9144677
1728.658678,116.9699727
1776.913486,115.6050956
1607.348099,81.3466788
1361.726249,38.0800728
1231.720249,21.70154686
1245.498544,0
1602.296052,0
2013.625709,0
2352.573104,0
2469.535972,0
2002.358041,0
1486.527617,0
1183.64882,0
923.9728176,0
784.7196454,0
734.1684498,0
717.3894306,0
804.7135608,0
1072.135616,0
1684.078038,0
2376.210427,0
1718.768823,10.37306642
1523.974061,42.58416741
1626.485125,121.7470428
1676.760463,104.6860783
1703.888574,110.5550501
1583.465744,55.55050044
1381.015862,47.77070064
1268.921628,23.20291174
1307.041549,0
1670.26895,0
2086.65062,0
2433.405721,0
2545.316543,0
2073.086565,0
1554.959786,0
1244.732554,0
972.6561032,0
847.1811921,0
798.9263845,0
778.0138938,0
865.7972949,0
1132.76008,0
1743.783959,0
2405.6041,0
1733.924931,3.82165605
1540.048711,21.97452229
1668.738551,49.27206552
1730.036491,55.27752501
1757.623907,32.34758871
1634.445384,58.00727934
1434.751161,25.79617835
1311.175054,6.414922656
1343.783657,0
1723.085707,0
2153.245672,0
2511.023409,0
2654.164987,0
2192.957645,0
1667.482465,0
1339.802737,0
1059.91858,0
918.8282911,0
863.2250485,0
836.8012398,0
936.5258521,0
1224.156062,0
1854.01025,0
2560.839442,0
1902.479296,10.37306642
1678.750132,51.59235669
1772.075678,92.40218379
1809.032025,83.9399454
1860.961033,99.36305733
1746.968062,96.36032757
1554.622275,108.9171974
1405.326662,37.39763421
1405.326662,0
1753.857227,0
2156.919873,0
2506.889904,0
