,pv,el,ev,dam_price
2024-07-16 16:00:00,0.38339999999999996,0.20300089712807753,0.39751552778892785,-28.8
2024-07-16 17:00:00,0.2332,0.323193512092427,0.7422360248845677,-8.9
2024-07-16 18:00:00,0.0842,0.7380217429378607,0.9999999999999997,28.1
2024-07-16 19:00:00,0.0268,0.864494004967859,0.9472049688942896,111.5
2024-07-16 20:00:00,0.0009,0.38415348299455054,0.7732919253462956,134.6
2024-07-16 21:00:00,0.0,0.38692410522773835,0.5155279502308637,129.93
2024-07-16 22:00:00,0.0,0.33399207591830826,0.34161490668286965,99.7
2024-07-16 23:00:00,0.0,0.22466979138456525,0.2826086953931647,98.47
2024-07-17 00:00:00,0.0,0.19820377661773578,0.19875776394028866,87.09
2024-07-17 01:00:00,0.0,0.18867601134203835,0.28260869550772644,71.1
2024-07-17 02:00:00,0.0,0.1802068866525295,0.13975155287970714,64.2
2024-07-17 03:00:00,0.0,0.1802068866525295,0.08385093168199959,56.5
2024-07-17 04:00:00,0.0124,0.18867601134203835,0.05590062108314578,38.2
2024-07-17 05:00:00,0.047200000000000006,0.28847053071219836,0.05590062096858401,69.97
2024-07-17 06:00:00,0.1701,0.6240938593790986,0.05279503110571002,117.46
2024-07-17 07:00:00,0.2859,0.23850226519733886,0.08385093179656132,138.54
2024-07-17 08:00:00,0.3685,0.1331306184396298,0.12732919253462957,99.98
2024-07-17 09:00:00,0.5423,0.1331306184396298,0.14906832294948838,79.98
2024-07-17 10:00:00,0.4978,0.1236028531639324,0.198757763963201,54.94
2024-07-17 11:00:00,0.6672,0.1236028531639324,0.33850931672834633,26.79
2024-07-17 12:00:00,0.4782,0.5951052638023994,0.5714285714285713,24.95
2024-07-17 13:00:00,0.7008,0.21203625058746955,0.5124223600930415,13.9
2024-07-17 14:00:00,0.5702999999999999,0.1236028531639324,0.3105590061294925,-5.83
2024-07-17 15:00:00,0.5098,0.1394824619567614,0.28260869553063883,-5.44
2024-07-17 16:00:00,0.4029,0.20300089712807753,0.39751552778892785,0.64
2024-07-17 17:00:00,0.2211,0.323193512092427,0.7422360248845677,29.94
2024-07-17 18:00:00,0.09240000000000001,0.7380217429378607,0.9999999999999997,80.11
2024-07-17 19:00:00,0.0277,0.864494004967859,0.9472049688942896,165.0
2024-07-17 20:00:00,0.0009,0.38415348299455054,0.7732919253462956,185.57
2024-07-17 21:00:00,0.0,0.38692410522773835,0.5155279502308637,153.24
2024-07-17 22:00:00,0.0,0.33399207591830826,0.34161490668286965,111.5
2024-07-17 23:00:00,0.0,0.22466979138456525,0.2826086953931647,129.91
2024-07-18 00:00:00,0.0,0.19820377661773578,0.19875776394028866,115.75
2024-07-18 01:00:00,0.0,0.18867601134203835,0.28260869550772644,103.03
2024-07-18 02:00:00,0.0,0.1802068866525295,0.13975155287970714,109.9
2024-07-18 03:00:00,0.0,0.1802068866525295,0.08385093168199959,76.1
2024-07-18 04:00:00,0.0115,0.18867601134203835,0.05590062108314578,60.05
2024-07-18 05:00:00,0.046299999999999994,0.28847053071219836,0.05590062096858401,112.29
2024-07-18 06:00:00,0.18130000000000002,0.6240938593790986,0.05279503110571002,164.92
2024-07-18 07:00:00,0.36619999999999997,0.23850226519733886,0.08385093179656132,174.95
2024-07-18 08:00:00,0.4947,0.1331306184396298,0.12732919253462957,142.71
2024-07-18 09:00:00,0.6421,0.1331306184396298,0.14906832294948838,104.93
2024-07-18 10:00:00,0.8429,0.1236028531639324,0.198757763963201,79.9
2024-07-18 11:00:00,0.9376,0.1236028531639324,0.33850931672834633,56.0
2024-07-18 12:00:00,0.9696,0.5951052638023994,0.5714285714285713,44.1
2024-07-18 13:00:00,0.696,0.21203625058746955,0.5124223600930415,17.7
2024-07-18 14:00:00,0.4194,0.1236028531639324,0.3105590061294925,19.39
2024-07-18 15:00:00,0.42469999999999997,0.1394824619567614,0.28260869553063883,30.9
2024-07-18 16:00:00,0.314,0.20300089712807753,0.39751552778892785,39.91
